,group1,group2,meandiff,p-adj,lower,upper,reject
0,Acerihabitans,Affinibrenneria,0.0,1.0,-10.5548,10.5548,False
1,Acerihabitans,Brenneria,3.2424,0.8984,-4.3332,10.8181,False
2,Acerihabitans,Dickeya,15.6019,0.0,8.1204,23.0834,True
3,Acerihabitans,Lonsdalea,2.7949,0.9515,-4.7636,10.3534,False
4,Acerihabitans,Musicola,10.25,0.005,1.9057,18.5943,True
5,Acerihabitans,Pectobacterium,14.0162,0.0,6.5442,21.4882,True
6,Acerihabitans,Samsonia,7.0,0.4716,-3.5548,17.5548,False
7,Affinibrenneria,Brenneria,3.2424,0.8984,-4.3332,10.8181,False
8,Affinibrenneria,Dickeya,15.6019,0.0,8.1204,23.0834,True
9,Affinibrenneria,Lonsdalea,2.7949,0.9515,-4.7636,10.3534,False
10,Affinibrenneria,Musicola,10.25,0.005,1.9057,18.5943,True
11,Affinibrenneria,Pectobacterium,14.0162,0.0,6.5442,21.4882,True
12,Affinibrenneria,Samsonia,7.0,0.4716,-3.5548,17.5548,False
13,Brenneria,Dickeya,12.3595,0.0,10.9601,13.7589,True
14,Brenneria,Lonsdalea,-0.4476,0.9945,-2.2128,1.3177,False
15,Brenneria,Musicola,7.0076,0.0,3.0562,10.959,True
16,Brenneria,Pectobacterium,10.7738,0.0,9.4259,12.1217,True
17,Brenneria,Samsonia,3.7576,0.8033,-3.8181,11.3332,False
18,Dickeya,Lonsdalea,-12.8071,0.0,-14.1104,-11.5037,True
19,Dickeya,Musicola,-5.3519,0.0005,-9.1197,-1.5842,True
20,Dickeya,Pectobacterium,-1.5857,0.0,-2.2177,-0.9538,True
21,Dickeya,Samsonia,-8.6019,0.0118,-16.0834,-1.1204,True
22,Lonsdalea,Musicola,7.4551,0.0,3.5367,11.3735,True
23,Lonsdalea,Pectobacterium,11.2213,0.0,9.9735,12.4692,True
24,Lonsdalea,Samsonia,4.2051,0.693,-3.3534,11.7636,False
25,Musicola,Pectobacterium,3.7662,0.048,0.0173,7.5151,True
26,Musicola,Samsonia,-3.25,0.9364,-11.5943,5.0943,False
27,Pectobacterium,Samsonia,-7.0162,0.0837,-14.4882,0.4558,False
