,Family,Genus,MeanFreq,SdFreq
0,CE8,Pectobacterium,1.92,0.27
1,GH1,Pectobacterium,9.32,1.13
2,GH103,Pectobacterium,1.48,0.5
3,GH105,Pectobacterium,1.99,0.07
4,GH13,Pectobacterium,3.01,0.51
5,GH23,Pectobacterium,6.2,0.99
6,GH28,Pectobacterium,3.79,0.52
7,GH3,Pectobacterium,2.2,0.46
8,GT19,Pectobacterium,1.0,0.0
9,GT2,Pectobacterium,6.57,2.05
10,GT30,Pectobacterium,1.0,0.0
11,GT51,Pectobacterium,2.99,0.31
12,GT9,Pectobacterium,3.18,0.59
13,PL1,Pectobacterium,5.65,0.67
14,PL9,Pectobacterium,1.98,0.14
15,CE8,Dickeya,1.77,0.42
16,GH1,Dickeya,4.72,0.77
17,GH103,Dickeya,1.88,0.32
18,GH105,Dickeya,2.09,0.35
19,GH13,Dickeya,1.97,0.18
20,GH23,Dickeya,5.54,1.28
21,GH28,Dickeya,3.09,0.86
22,GH3,Dickeya,3.0,0.21
23,GT19,Dickeya,1.0,0.0
24,GT2,Dickeya,9.12,1.67
25,GT30,Dickeya,1.0,0.0
26,GT51,Dickeya,3.0,0.15
27,GT9,Dickeya,4.03,0.18
28,PL1,Dickeya,6.45,0.95
29,PL9,Dickeya,2.96,0.2
30,CBM48,Dickeya,1.25,0.43
31,CE11,Dickeya,1.0,0.0
32,CE12,Dickeya,1.0,0.0
33,GH102,Dickeya,1.0,0.0
34,GH104,Dickeya,1.25,0.58
35,GH31,Dickeya,1.0,0.0
36,GH32,Dickeya,1.24,0.43
37,GH33,Dickeya,1.4,0.49
38,GH8,Dickeya,1.0,0.0
39,GT1,Dickeya,1.75,0.43
40,GT35,Dickeya,2.0,0.0
41,GT4,Dickeya,6.17,1.45
42,GT5,Dickeya,1.0,0.0
43,GT83,Dickeya,1.0,0.0
44,CBM32,Pectobacterium,1.0,0.0
45,CE9,Pectobacterium,1.11,0.31
46,GH43,Pectobacterium,2.28,0.68
47,GT28,Pectobacterium,1.0,0.0
48,PL2,Pectobacterium,1.98,0.13
49,PL22,Pectobacterium,1.0,0.0
50,PL3,Pectobacterium,1.78,0.42
